"Experiment","Role","Path","Bytes","Modified"
"06","Data / report","output/archive/terrain-experiments/visibility-v3-audit.json","129908","2026-09-10 16:22:22"
"06","Data / report","output/archive/terrain-experiments/visibility-v3-final-checks.json","1110","2026-09-10 16:22:41"
"06","Data / report","output/archive/terrain-experiments/visibility-v3-layout-transforms.json","633","2026-09-10 15:50:59"
"06","Data / report","output/archive/terrain-experiments/visibility-v3-proposed-layout.json","129636","2026-09-10 15:50:59"
"06","Data / report","output/archive/terrain-experiments/visibility-v3-terrain-validation.json","1503","2026-09-10 16:22:26"
"06","Image","output/archive/terrain-experiments/natural-terrain-rhino-G.jpg","79310","2026-09-10 15:34:05"
"06","Image","output/archive/terrain-experiments/natural-terrain-rhino-G.png","110091","2026-09-10 15:33:06"
"06","Image","output/archive/terrain-experiments/natural-terrain-surface-review.png","740379","2026-09-10 15:51:32"
"06","Image","output/archive/terrain-experiments/terrain-before-natural.jpg","15295","2026-09-10 15:27:29"
"06","Image","output/archive/terrain-experiments/visibility-v3-option-I.jpg","74962","2026-09-10 16:22:38"
"06","Rhino model","output/archive/terrain-experiments/three-resort-terrain-options.3dm","4767744","2026-09-10 16:36:20"
"07","Code / configuration","rhino-plugin/ResortTerrain/build-in-rhino.py","2537","2026-09-14 11:59:12"
"07","Code / configuration","rhino-plugin/ResortTerrain/check-current.py","1165","2026-09-14 11:59:12"
"07","Code / configuration","rhino-plugin/ResortTerrain/dist/manifest.yml","209","2026-09-10 16:53:07"
"07","Code / configuration","rhino-plugin/ResortTerrain/install-in-rhino.py","1163","2026-09-14 11:59:12"
"07","Code / configuration","rhino-plugin/ResortTerrain/ResortTerrain.csproj","756","2026-09-10 16:53:38"
"07","Code / configuration","rhino-plugin/ResortTerrain/src/Model.cs","12954","2026-09-10 16:48:27"
"07","Code / configuration","rhino-plugin/ResortTerrain/src/Plugin.cs","8727","2026-09-10 16:53:07"
"07","Code / configuration","rhino-plugin/ResortTerrain/src/SelfTests.cs","8202","2026-09-10 16:50:21"
"07","Code / configuration","rhino-plugin/ResortTerrain/src/Solver.cs","9006","2026-09-10 16:35:14"
"07","Code / configuration","rhino-plugin/ResortTerrain/src/Terrain.cs","5228","2026-09-10 16:49:51"
"07","Code / configuration","rhino-plugin/ResortTerrain/src/Workflow.cs","16737","2026-09-10 16:48:27"
"07","Code / configuration","rhino-plugin/ResortTerrain/test-dialog.py","1146","2026-09-14 11:59:12"
"07","Code / configuration","rhino-plugin/ResortTerrain/test-in-rhino.py","1230","2026-09-14 11:59:12"
"07","Data / report","output/archive/terrain-experiments/resort-plugin-check-command.json","35","2026-09-10 16:53:53"
"07","Data / report","output/archive/terrain-experiments/resort-plugin-commands.json","28","2026-09-10 16:53:53"
"07","Data / report","output/terrain-reports/resort-terrain-20260910-165353-458.json","2380","2026-09-10 16:53:53"
"07","Data / report","output/terrain-reports/resort-terrain-20260910-170700-618.json","2380","2026-09-10 17:07:00"
"07","Data / report","output/terrain-reports/resort-terrain-20260910-170710-361.json","2022","2026-09-10 17:07:10"
"07","Data / report","rhino-plugin/ResortTerrain/build-log.json","747","2026-09-10 16:53:08"
"07","Data / report","rhino-plugin/ResortTerrain/current-model-check.json","2443","2026-09-10 16:50:22"
"07","Data / report","rhino-plugin/ResortTerrain/test-results.json","617","2026-09-10 16:49:53"
"07","Document / other","output/terrain-reports/resort-terrain-20260910-165353-458.txt","1883","2026-09-10 16:53:53"
"07","Document / other","output/terrain-reports/resort-terrain-20260910-170700-618.txt","1883","2026-09-10 17:07:00"
"07","Document / other","output/terrain-reports/resort-terrain-20260910-170710-361.txt","1574","2026-09-10 17:07:10"
"07","Document / other","rhino-plugin/ResortTerrain/dist/README.md","5948","2026-09-10 16:53:07"
"07","Document / other","rhino-plugin/ResortTerrain/README.md","5948","2026-09-10 16:53:07"
"07","Plugin build","rhino-plugin/ResortTerrain/dist/Field.ResortTerrain.rhp","80896","2026-09-10 16:53:08"
"08","Data / report","output/archive/staged-planning/STAGE1_audit_snapshot_2026-09-11.json","119617","2026-09-11 16:32:05"
"08","Data / report","output/archive/staged-planning/STAGE1_diagnostics_2026-09-11.json","3502","2026-09-11 16:57:19"
"08","Data / report","output/archive/staged-planning/STAGE1_orientation_log_2026-09-11.json","14921","2026-09-11 16:55:32"
"08","Data / report","output/archive/staged-planning/STAGE1_per_building_report_2026-09-11.csv","12288","2026-09-11 16:59:52"
"08","Data / report","output/archive/staged-planning/STAGE1B_diagnostics_2026-09-11.json","3510","2026-09-11 17:21:18"
"08","Data / report","output/archive/staged-planning/STAGE1B_orientation_log_2026-09-11.json","12099","2026-09-11 17:18:50"
"08","Data / report","output/archive/staged-planning/STAGE1B_per_building_report_2026-09-11.csv","12288","2026-09-11 17:21:59"
"08","Data / report","output/archive/staged-planning/STAGE1B_terrain_field_2026-09-11.json","670","2026-09-11 17:17:12"
"08","Data / report","output/checks/stage2/STAGE2_orientation_log_40m_2026-09-11.json","12184","2026-09-11 17:34:47"
"08","Data / report","output/checks/stage2/STAGE2_terrain_field_40m_2026-09-11.json","803","2026-09-11 17:34:31"
"08","Data / report","output/checks/stage2/STAGE2v0_final_diagnostics_2026-09-11.json","464","2026-09-11 17:39:34"
"08","Data / report","output/checks/stage2/STAGE2v0_per_building_report_2026-09-11.csv","12288","2026-09-11 17:39:33"
"08","Data / report","output/checks/stage2/STAGE2v0_spacing_report_2026-09-11.json","3632","2026-09-11 17:36:39"
"08","Document / other","output/resort planning.3dm.rhl","47","2026-09-14 11:55:14"
"08","Image","output/archive/staged-planning/STAGE1_images_2026-09-11/oblique_terrain_v2.jpg","28304","2026-09-11 17:22:58"
"08","Image","output/archive/staged-planning/STAGE1_images_2026-09-11/overall_3_options.jpg","24956","2026-09-11 17:02:28"
"08","Image","output/archive/staged-planning/STAGE1_images_2026-09-11/overall_3_options_v2.jpg","39509","2026-09-11 17:22:56"
"08","Image","output/archive/staged-planning/STAGE1_images_2026-09-11/plan_01_GROUPED_A.jpg","31659","2026-09-11 17:02:45"
"08","Image","output/archive/staged-planning/STAGE1_images_2026-09-11/plan_01_v2.jpg","33677","2026-09-11 17:23:13"
"08","Image","output/archive/staged-planning/STAGE1_images_2026-09-11/plan_02_FREE_G.jpg","33739","2026-09-11 17:02:46"
"08","Image","output/archive/staged-planning/STAGE1_images_2026-09-11/plan_02_v2.jpg","45385","2026-09-11 17:23:14"
"08","Image","output/archive/staged-planning/STAGE1_images_2026-09-11/plan_03_FREE_I.jpg","32269","2026-09-11 17:02:47"
"08","Image","output/archive/staged-planning/STAGE1_images_2026-09-11/plan_03_v2.jpg","42473","2026-09-11 17:23:15"
"08","Rhino model","output/archive/staged-planning/resort planning_STAGE1_ORIENTED_2026-09-11.3dm","950272","2026-09-11 17:00:10"
"08","Rhino model","output/archive/staged-planning/resort planning_STAGE1B_ORIENTED_SKETCH_TERRAIN_2026-09-11.3dm","5947392","2026-09-11 17:22:24"
"08","Rhino model","output/resort planning.3dm","6459392","2026-09-11 18:29:54"
"09","Code / configuration","outputs/partial-edit/prepare_crops.py","2714","2026-09-11 17:52:05"
"09","Code / configuration","outputs/partial-edit/server.py","3232","2026-09-11 17:46:07"
"09","Data / report","outputs/partial-edit/alignment/alignment.json","1705","2026-09-11 17:48:36"
"09","Data / report","outputs/partial-edit/alignment-r2/alignment.json","1735","2026-09-11 17:50:55"
"09","Data / report","outputs/partial-edit/geometry.json","536","2026-09-11 17:52:06"
"09","Data / report","outputs/partial-edit/selection.json","173","2026-09-11 17:47:39"
"09","Data / report","outputs/partial-edit/status.json","21","2026-09-11 17:47:39"
"09","Document / other","outputs/partial-edit/editor.html","9245","2026-09-11 17:46:07"
"09","Image","outputs/partial-edit/alignment/aligned-moving.png","1255956","2026-09-11 17:48:36"
"09","Image","outputs/partial-edit/alignment/overlay.png","998361","2026-09-11 17:48:36"
"09","Image","outputs/partial-edit/alignment-r2/aligned-moving.png","740551","2026-09-11 17:50:54"
"09","Image","outputs/partial-edit/alignment-r2/overlay.png","3053280","2026-09-11 17:50:55"
"09","Image","outputs/partial-edit/crop-masked.png","728222","2026-09-11 17:52:06"
"09","Image","outputs/partial-edit/crop-reference.png","125727","2026-09-11 17:52:06"
"09","Image","outputs/partial-edit/plan.png","186671","2026-09-04 13:12:53"
"09","Image","outputs/partial-edit/render.png","3532330","2026-09-08 15:31:47"
"10","Code / configuration","inspect_doc.py","1091","2026-09-11 15:41:54"
